,BIN Number,Inspector ID,R.Section of Law,R.I_CODE,R.New I_CODE
872,4144471,3059,17,7,6
873,4014321,2879,17,7,6
874,3057751,2982,17,7,6
875,4017003,3084,17,7,6
876,3152412,3047,17,7,6
877,3068086,2978,17,7,6
878,3832866,3059,17,7,6
879,4004559,3084,17,7,6
880,4619565,3084,17,7,6
881,4005639,3048,17,7,6
882,2130350,2989,17,7,6
883,1042046,3047,17,7,6
884,1087279,2987,17,7,6
885,3156347,2984,17,7,6
886,3398580,2884,17,7,6
887,3254185,2879,17,7,6
888,4102673,3051,17,7,6
889,2001327,2865,17,7,6
890,1001406,3129,17,7,6
891,2128826,2783,17,7,6
892,4014094,3059,17,7,6
893,1084029,3129,17,7,6
894,1003481,3050,17,7,6
895,4623050,2841,17,7,6
896,1025442,3048,17,7,6
897,3164807,2984,17,7,6
898,1017914,2868,17,7,6
899,4596010,2879,17,7,6
900,3203146,2801,17,7,6
901,1090220,2958,17,7,6
902,1090220,2958,17,7,6
903,1040722,3050,17,7,6
904,3065902,3076,17,7,6
905,3030662,3055,17,7,6
906,3032968,2884,17,7,6
907,4618508,3047,17,7,6
908,4053651,3044,17,7,6
909,1026772,3085,17,7,6
910,3392149,2801,17,7,6
911,1054628,3048,17,7,6
912,1081593,2796,17,7,6
913,4053651,3044,17,7,6
914,3157206,3044,17,7,6
915,3031866,2841,17,7,6
916,3060187,2976,17,7,6
917,3425001,2884,17,7,6
918,1090710,3050,17,7,6
919,1064203,2884,17,7,6
920,4030300,3084,17,7,6
921,2128739,2865,17,7,6
922,2129123,2865,17,7,6
923,3074542,2987,17,7,6
924,3428543,2879,17,7,6
925,2112996,2989,17,7,6
926,1090651,3048,17,7,6
927,3398245,2982,17,7,6
928,4097918,3077,17,7,6
929,4617675,2829,17,7,6
930,3330615,3085,17,7,6
